"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1763","test_batch_add_change_archive[MMR VaxPro]","tests","Fri Dec 05 10:08:28 GMT 2025","passed","Fri Dec 05 10:08:30 GMT 2025","","test_vaccines","",""
"
Test: Verify that tallying totals match the number of eligible patients.
Steps:
1. Navigate to a session with eligible patients for the given programme.
2. Compare the sum of the tally boxes with the count of eligible patients.
Verification:
- Sum of tally totals should equal the number of eligible children shown
  on the children tab.
","268","test_tallying_totals_match_eligible_patients[Programme: MenACWY]","tests","Fri Dec 05 10:11:55 GMT 2025","passed","Fri Dec 05 10:11:55 GMT 2025","","test_tallying","",""
"
Test: End-to-end test for recording a flu vaccination for a child.
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch name.
2. Go to online consent URL and fill in child and parent details.
3. Agree to flu vaccination, fill address, answer health questions, and confirm.
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record flu vaccination for the child.
Verification:
- Final consent message is shown after online consent.
- Vaccination is recorded for the child in the session.
","17112","test_recording_flu_vaccination_e2e[consent_option: ]","tests","Fri Dec 05 10:12:45 GMT 2025","passed","Fri Dec 05 10:13:02 GMT 2025","","test_e2e_flu","",""
"
Test: Verify that the Accessibility Statement link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Accessibility Statement link.
3. Verify the accessibility statement page is displayed.
Verification:
- The Accessibility Statement page is displayed.
","1310","test_accessibility_statement_link","tests","Fri Dec 05 10:13:52 GMT 2025","passed","Fri Dec 05 10:13:53 GMT 2025","","test_start","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","470","test_batch_name_too_short[Cell-based Trivalent Influenza Vaccine Seqirus]","tests","Fri Dec 05 10:08:44 GMT 2025","passed","Fri Dec 05 10:08:45 GMT 2025","","test_vaccines","",""
"
Test: Upload a historic vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with invalid data.
Verification:
- Output lists errors as expected for each record
Scenarios covered:
InvalidODSCode, EmptyOrgCode, EmptySchoolURN, NotKnownSchoolEmpty, LongNHSNumber,
ShortNHSNumber, EmptyForename, EmptyLastname, EmptyDOB, InvalidFormatDOB, FutureDOB,
NonLeapYearDOB, EmptyGender, InvalidGender, EmptyPostCode, InvalidPostCode,
EmptyVaccDate, FutureVaccDate, EmptyVaccGiven, EmptyBatchNumber, EmptyExpiryDate,
EmptyAnatomicalSite, InvalidAnatomicalSite, InvalidAnatomicalSite,
InvalidAnatomicalSite, EmptyDoseSeq, InvalidDoseSeq, EmptyCareSetting,
InvalidProfFName, InvalidProfSName, InvalidProfEmail, InvalidClinic, InvalidTime,
InvalidReason, InvalidVaccinatedFlag, InvalidCareSetting, TimeInFuture,
LongBatchNumber
","809","test_vaccination_file_upload_historic_invalid_data","tests","Fri Dec 05 10:12:56 GMT 2025","passed","Fri Dec 05 10:12:57 GMT 2025","","test_import_historical_vaccinations","",""
"
Test: Validate Gillick competence assessment notes length and update.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Attempt to complete assessment with notes over 1000 characters (should error).
4. Complete assessment with valid notes.
5. Edit assessment and again try to update with notes over 1000
   characters (should error).
Verification:
- Error is shown for notes over 1000 characters.
- Assessment can be completed and updated with valid notes.
","2761","test_gillick_competence_notes","tests","Fri Dec 05 10:11:44 GMT 2025","passed","Fri Dec 05 10:11:47 GMT 2025","","test_nurse_consent","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","429","test_batch_name_too_short[Menveo]","tests","Fri Dec 05 10:08:53 GMT 2025","passed","Fri Dec 05 10:08:54 GMT 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","438","test_batch_name_too_long[MenQuadfi]","tests","Fri Dec 05 10:09:17 GMT 2025","passed","Fri Dec 05 10:09:18 GMT 2025","","test_vaccines","",""
"
Test: Upload a vaccination records file with only headers and verify no records are
   imported.
Steps:
1. Navigate to vaccination records import page.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","284","test_vaccination_file_upload_header_only","tests","Fri Dec 05 10:10:20 GMT 2025","passed","Fri Dec 05 10:10:20 GMT 2025","","test_import_offline_vaccinations","",""
"
Test: Create a new child record from an unmatched consent response
   without NHS number.
Steps:
1. Select a child from unmatched consent responses.
2. Click to create a new record and complete the process.
3. Verify the child is removed from unmatched responses.
4. Go to children page and verify activity log for the created child.
Verification:
- Created alert is visible.
- Consent response for the child is no longer visible in unmatched list.
- Activity log for the child shows the creation event.
","2688","test_create_child_record_from_consent_without_nhs_number","tests","Fri Dec 05 10:12:07 GMT 2025","passed","Fri Dec 05 10:12:10 GMT 2025","","test_consent_responses","",""
